StudyHours,Attendance,PreviousMarks,Result
4.7,64.7,97.4,Pass
0.0,40.0,57.5,Fail
4.9,71.4,77.9,Pass
3.2,59.3,8.3,Fail
2.0,85.2,39.2,Fail
5.5,77.3,59.3,Fail
3.5,51.1,87.3,Pass
7.5,60.9,92.9,Pass
5.5,74.6,64.5,Pass
6.4,86.4,43.7,Pass
4.2,89.5,32.1,Fail
0.0,80.6,66.7,Pass
5.6,67.5,67.2,Fail
5.3,72.4,68.9,Pass
1.1,45.7,35.8,Fail
3.3,78.0,100.0,Pass
8.6,82.1,64.5,Pass
7.5,70.6,73.0,Pass
3.3,65.2,27.2,Fail
4.8,77.5,80.7,Fail
8.9,91.7,37.6,Pass
8.7,50.0,71.1,Fail
